"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"C3orf58",5.5552220809576e-21,0.288248894452545,0.318,0.051,1.01882772964762e-16,"12","C3orf58"
"PDIA63",5.99292707856992e-21,0.711217165343771,0.848,0.332,1.09910282620972e-16,"12","PDIA6"
"TMEM2581",7.63748057470465e-21,0.712373990931018,0.955,0.655,1.40071393740083e-16,"12","TMEM258"
"ITGAE",9.96367177660468e-21,0.531295704283652,0.621,0.167,1.8273374038293e-16,"12","ITGAE"
"PSENEN",1.00759439918433e-20,0.50982271346915,0.803,0.253,1.84792812810406e-16,"12","PSENEN"
"GPX7",1.37943953190948e-20,0.286323752220898,0.303,0.047,2.52989210152199e-16,"12","GPX7"
"CST312",1.42038813540356e-20,0.936638208060658,1,0.537,2.60499184033013e-16,"12","CST3"
"CYTH42",2.1692818362073e-20,0.559415758484036,0.788,0.255,3.97846288760419e-16,"12","CYTH4"
"CHD91",2.22390165207888e-20,0.500702480337616,0.667,0.183,4.07863562991266e-16,"12","CHD9"
"RAP1GDS1",2.35015978696246e-20,0.46079283135419,0.424,0.089,4.31019304928915e-16,"12","RAP1GDS1"
"ERO1B",2.44568185783678e-20,0.307925183188567,0.364,0.065,4.48538052727266e-16,"12","ERO1B"
"MNAT1",2.5956207789418e-20,0.31399862767241,0.348,0.061,4.76036850857927e-16,"12","MNAT1"
"DNAJC3",2.79104913427603e-20,0.43254219428465,0.621,0.163,5.11878411226225e-16,"12","DNAJC3"
"MYL12A7",2.83045580169817e-20,0.54642010962002,1,0.936,5.19105594031445e-16,"12","MYL12A"
"NCF111",3.0903089321626e-20,0.600389061225068,0.97,0.419,5.6676265815862e-16,"12","NCF1"
"SSR33",3.27860784069144e-20,0.664052423686851,0.773,0.278,6.01296677982811e-16,"12","SSR3"
"SKAP24",3.58082402334914e-20,0.518883038056264,0.682,0.198,6.56723125882233e-16,"12","SKAP2"
"CD1641",4.09298128964034e-20,0.711966817451579,1,0.469,7.50652768520037e-16,"12","CD164"
"TMEM106A",4.95038028620457e-20,0.324966692559192,0.288,0.045,9.07899744489918e-16,"12","TMEM106A"
"GLIPR16",6.87808924199643e-20,0.681156494671158,0.924,0.348,1.26144156698215e-15,"12","GLIPR1"
"TUBA1B5",7.72801867973317e-20,0.701928611398471,0.955,0.519,1.41731862586306e-15,"12","TUBA1B"
"AHCY",8.52572095145146e-20,0.42592385750876,0.424,0.091,1.5636172224962e-15,"12","AHCY"
"COMMD6",9.8478667606917e-20,0.592859714704166,1,0.89,1.80609876391086e-15,"12","COMMD6"
"FES1",1.21241781389197e-19,0.414346838109034,0.409,0.086,2.22357427067787e-15,"12","FES"
"SLC39A7",1.49223157143621e-19,0.333159646876481,0.379,0.072,2.73675270201401e-15,"12","SLC39A7"
"ADAM19",1.62385152024444e-19,0.300644609009968,0.348,0.063,2.9781436881283e-15,"12","ADAM19"
"FERMT34",1.82145600194536e-19,0.713086929371083,0.773,0.305,3.34055030756779e-15,"12","FERMT3"
"GALK1",2.07801262189523e-19,0.348122617870221,0.409,0.084,3.81107514855585e-15,"12","GALK1"
"PRKCD2",2.51831384371342e-19,0.348288293022306,0.394,0.08,4.61858758937042e-15,"12","PRKCD"
"ERCC1",2.75173206304055e-19,0.519346634761273,0.652,0.189,5.04667660361636e-15,"12","ERCC1"
