"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpx16",3.73358429318065e-21,0.536442882682404,0.982,0.767,5.23672532961519e-17,"8","Gpx1"
"Nans4",3.89502735117222e-21,0.404029276132465,0.712,0.249,5.46316536275416e-17,"8","Nans"
"2700029M09Rik1",4.64130304796701e-21,0.418833397191403,0.586,0.182,6.50989165507853e-17,"8","2700029M09Rik"
"Mrpl543",5.59376781093345e-21,0.484217218899794,0.739,0.285,7.84581873161526e-17,"8","Mrpl54"
"Cldn78",6.31802054357008e-21,0.579106786295457,0.901,0.408,8.86165561441139e-17,"8","Cldn7"
"Naa101",7.82938042879453e-21,0.398214311921685,0.685,0.235,1.09814889894272e-16,"8","Naa10"
"Prelid11",8.1435089720524e-21,0.575897636088136,0.874,0.438,1.14220856842007e-16,"8","Prelid1"
"Pfdn15",8.5971981676614e-21,0.520319825666505,0.82,0.349,1.20584301499619e-16,"8","Pfdn1"
"Nudt211",8.92192944756046e-21,0.516205528954374,0.865,0.366,1.25138982431483e-16,"8","Nudt21"
"Gnpnat12",9.10043765567266e-21,0.425462638030306,0.586,0.189,1.27642738558465e-16,"8","Gnpnat1"
"Vrk1",9.24212339357989e-21,0.368699267851388,0.396,0.097,1.29630022718352e-16,"8","Vrk1"
"Rad21",1.02914932948507e-20,0.277450930672213,0.414,0.102,1.44348484953575e-16,"8","Rad21"
"Hnrnpa12",1.02944102988389e-20,0.538467422386349,0.964,0.626,1.44389398851515e-16,"8","Hnrnpa1"
"Snrpa2",1.15553482738802e-20,0.430321090575152,0.676,0.23,1.62075314889443e-16,"8","Snrpa"
"Slc25a175",1.18835524482809e-20,0.456837893849708,0.91,0.387,1.66678706639588e-16,"8","Slc25a17"
"Rnaseh2a",1.23160257511752e-20,0.405160267210967,0.55,0.173,1.72744577185983e-16,"8","Rnaseh2a"
"Arf51",1.27943945463707e-20,0.497312559104219,0.991,0.756,1.79454177907395e-16,"8","Arf5"
"Rac11",1.3533750917163e-20,0.576396786206371,0.928,0.573,1.89824390364128e-16,"8","Rac1"
"Ube2l31",1.49717086842864e-20,0.546589252763382,0.829,0.39,2.09993186005801e-16,"8","Ube2l3"
"Snrpe1",1.88170491484688e-20,0.376485956545781,0.658,0.222,2.63927931356423e-16,"8","Snrpe"
"0610040J01Rik1",1.97795871625663e-20,0.322981967436902,0.505,0.143,2.77428489542154e-16,"8","0610040J01Rik"
"Med8",2.04418381565539e-20,0.274135384751,0.468,0.126,2.86717221983825e-16,"8","Med8"
"Uck21",2.23464305454776e-20,0.302645189094538,0.36,0.084,3.13431034830869e-16,"8","Uck2"
"Nucks1",2.2488474640569e-20,0.439542947188204,0.468,0.136,3.15423345308621e-16,"8","Nucks1"
"Mrpl46",2.86906697969434e-20,0.298121947566603,0.495,0.141,4.02415334571927e-16,"8","Mrpl46"
"Cs",3.10706354341456e-20,0.303455301880077,0.559,0.168,4.35796732599326e-16,"8","Cs"
"Esrp1",3.15784244646715e-20,0.252339492886282,0.369,0.086,4.42918981541483e-16,"8","Esrp1"
