"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gpx41",3.60511664107849e-35,0.406607162290065,0.974,0.95,4.99344705955782e-31,"3","Gpx4"
"Zc3h12a",5.44269663798017e-35,0.443336997407296,0.348,0.09,7.53867911326633e-31,"3","Zc3h12a"
"Rplp01",8.98757634289356e-35,0.271384754565691,1,0.997,1.24486919925419e-30,"3","Rplp0"
"Zfp36l22",4.46889260620988e-34,0.738031705675244,0.8,0.51,6.1898631488613e-30,"3","Zfp36l2"
"Ltf",1.64411348755452e-32,0.48152130653281,0.311,0.076,2.27726159161177e-28,"3","Ltf"
"Syne42",3.64526672173881e-32,0.546917135699945,0.519,0.201,5.04905893628043e-28,"3","Syne4"
"Arhgap8",5.21362051337029e-32,0.478632956542195,0.337,0.094,7.22138577306919e-28,"3","Arhgap8"
"Tspan8",1.09265394080612e-31,0.416289973962245,0.426,0.132,1.51343497341055e-27,"3","Tspan8"
"Tubb2b",1.17162556422356e-31,0.463877270807656,0.311,0.081,1.62281856900606e-27,"3","Tubb2b"
"Capg1",1.26212490797573e-30,0.561239877737617,0.689,0.367,1.74816921003719e-26,"3","Capg"
"Cldn43",1.85905682726292e-30,0.633304235212261,0.781,0.413,2.57497961144187e-26,"3","Cldn4"
"Gm13889",3.02351515330736e-30,0.376042828483631,0.278,0.065,4.18787083884602e-26,"3","Gm13889"
"Prodh",7.23796404416652e-30,0.419926352665696,0.259,0.061,1.0025303997575e-25,"3","Prodh"
"Gm87301",9.56875043227123e-30,0.284735775866622,1,0.986,1.32536762237389e-25,"3","Gm8730"
